OBJECTID,7,7_30,8,9,8_30,9_30,10,10_30,11_30,11,12,12_30,13,13_30,14,14_30,15,15_30,16,16_30
3157,170.9,193.1,126.6,177.3,199.4,155.1,104.5,177.3,110.8,139.3,123.4,88.6,98.1,117.1,98.1,98.1,79.1,104.5,63.3,66.5
3158,134.5,151.9,99.6,139.4,156.9,122,82.2,139.4,87.2,109.6,97.1,69.7,77.2,92.1,77.2,77.2,62.3,82.2,49.8,52.3
3159,54,61,40,56,63,49,33,56,35,44,39,28,31,37,31,31,25,33,20,21
3160,54,61,40,56,63,49,33,56,35,44,39,28,31,37,31,31,25,33,20,21
3161,108,122,80,112,126,98,66,112,70,88,78,56,62,74,62,62,50,66,40,42
3162,97.7,110.3,72.4,101.3,114,88.6,59.7,101.3,63.3,79.6,70.5,50.6,56.1,66.9,56.1,56.1,45.2,59.7,36.2,38
3163,108,122,80,112,126,98,66,112,70,88,78,56,62,74,62,62,50,66,40,42
3164,103.7,117.1,76.8,107.5,121,94.1,63.4,107.5,67.2,84.5,74.9,53.8,59.5,71,59.5,59.5,48,63.4,38.4,40.3
3165,102.6,115.9,76,106.4,119.7,93.1,62.7,106.4,66.5,83.6,74.1,53.2,58.9,70.3,58.9,58.9,47.5,62.7,38,39.9
3166,230.5,250.4,173.6,244.5,261,207.4,158.1,233.4,159.3,194.5,171.8,132,144.4,164.2,142.1,134.7,109.5,131.2,83.8,84.9
3167,254.1,258.9,196.2,278.8,274.2,225.8,203.6,247.6,192.4,225.8,198.5,166.8,179.8,191.7,173.2,152.4,125.4,128,89.6,85.4
3168,371.4,369.6,290.4,413.6,393.6,328.1,314.7,356.3,291,337.1,295.7,256.3,275.1,286.3,263.6,225.2,186.7,178.1,129.9,120.5
3169,187.5,193.7,145.3,205.7,204.2,166.6,147.7,183.5,140.5,166.1,146,121.4,131.2,140.5,127.3,112.2,92.9,96.5,67,64.2
3170,298.2,300.2,242.8,341.4,316.7,259.6,262.6,281.6,238.3,278.2,243,214,230.4,232.7,225.4,182.3,157.5,142.3,108.6,97.8
3171,328.6,324,262.9,372.9,344.9,287.6,291.1,310.4,264.2,304.9,266.7,236.5,253.5,257.5,244.3,201,170.1,152.8,116.3,104.9
3172,231.2,238.1,183.9,258.7,250.3,203.3,190.1,223,177.3,209.4,183.5,155.9,168.5,175.7,164.9,139.5,118.3,116.6,84.1,78.5
3173,189,193,158,220,202,163,169,177,152,179,156,138,149,148,148,116,103,91,71,63
3174,7,10,7,4,1,4,4,3,9,4,11,5,7,10,6,2,7,1,3,4
